image_name,category,hair_visible,ruler_or_marker_visible,dark_border_visible,illumination_issue,low_contrast,lesion_near_edge,blur_or_quality_issue,other_observation,review_notes
ISIC_2979268,FN,yes,no,no,no,no,no,no,white linear fibre across lesion,"Centred pigmented lesion with sparse hair and a bright linear fibre crossing the lesion."
ISIC_7763042,FN,yes,no,no,no,no,no,no,none,"Centred pigmented lesion; a sparse pale hair is visible."
ISIC_1159891,FN,yes,no,no,no,yes,no,no,dense crossing hair,"Diffuse red lesion on a pink background is substantially occluded by hair."
ISIC_0149568,FN,no,no,no,no,yes,no,no,dataset counterpart ISIC_9022005 is byte-identical but not selected,"Multiple faint brown foci with weak separation from the background."
ISIC_9785077,FN,yes,no,no,no,yes,yes,no,none,"Diffuse red lesion extends beyond the left image edge; fine pale hairs are visible."
ISIC_4967586,FN,yes,no,no,no,yes,no,no,none,"Diffuse low-contrast pigmented lesion with sparse fine hairs."
ISIC_7433711,FP,yes,yes,no,no,no,yes,no,purple ink and curved white fibre,"Large heterogeneous field reaches the circular image boundary and contains multiple ink marks plus hair/fibre artifacts."
ISIC_3875647,FP,yes,yes,no,no,yes,no,no,multiple purple ink marks,"Faint central lesion is partially obscured by several purple ink marks."
ISIC_3238159,FP,yes,no,no,no,yes,no,no,none,"Diffuse erythematous lesion has weak contrast and sparse crossing hairs."
ISIC_9884312,FP,no,no,no,yes,no,no,no,strong magenta colour cast,"Dark central focus is surrounded by a bright mottled pink field."
ISIC_7028320,FP,no,no,no,no,no,no,no,none,"Centred irregular pigmented lesion without an obvious acquisition artifact."
ISIC_7658431,FP,no,yes,no,yes,unclear,unclear,yes,vascular background and purple ink,"No clearly delineated lesion is visible; the upper-right area is out of focus and the field has uneven colour and several ink marks."
ISIC_1698942,TP,yes,no,no,no,yes,no,no,none,"Diffuse pigmented lesion has low local contrast with sparse hair."
ISIC_6089318,TP,no,yes,no,no,no,no,no,circular field of view,"Irregular pigmented lesion is shown with a millimetre scale."
ISIC_2221217,TP,yes,no,no,no,no,no,no,circular field of view,"Central erythematous lesion is crossed and surrounded by numerous hairs."
ISIC_8006211,TP,yes,yes,no,no,no,no,no,circular field of view,"Large irregular pigmented lesion is shown with a millimetre scale and sparse short hairs."
ISIC_5037784,TP,no,no,no,no,no,no,yes,none,"Dark central lesion is visibly out of focus."
ISIC_7410175,TP,no,yes,no,no,yes,no,no,multiple purple ink marks,"Pale erythematous lesion has weak contrast and is surrounded by ink marks."
ISIC_6931712,TN,yes,no,no,no,no,no,no,second small pigmented focus near left edge,"Centred light-brown lesion is crossed by many hairs; a separate small focus lies near the left edge."
ISIC_1258435,TN,yes,no,no,no,yes,no,no,none,"Small light-brown lesion has low contrast and crossing hairs."
ISIC_8661536,TN,yes,no,no,no,yes,no,no,dense crossing hair,"Small light-brown lesion is heavily occluded by hair."
ISIC_6960446,TN,yes,no,no,no,yes,no,no,none,"Light-brown lesion has low contrast and sparse crossing hairs."
ISIC_3505829,TN,yes,no,no,no,yes,no,no,dense crossing hair,"Small low-contrast lesion is crossed and surrounded by many hairs."
ISIC_8825295,TN,yes,no,no,no,no,no,no,none,"Centred light-brown lesion is crossed by sparse hairs."
